GeneID	WT1	WT2	ddm1	ddm2
AT1G05310	4.06938	3.58709	2.65106	3.42468
AT1G05320	6.60834	7.02139	4.27727	5.59139
AT1G05330	0.629453	0.99441	0.654968	0.476758
AT1G05340	16.03	20.4462	10.1719	10.5491
AT1G05350	13.601	16.6069	14.0986	16.5348
AT1G05360	3.6145	3.07332	3.83288	2.83649
AT1G05370	1.20478	0.99303	0.763069	0.502546
AT1G05380	2.68711	3.7856	3.3345	3.8887
AT1G05385	10.6354	18.4043	13.9195	13.3481
AT1G05390	641.798	329.522	587.676	324.072
AT1G05400	0.352173	0.39944	0.280627	0.0444528
AT1G05410	5.13026	7.63244	7.87136	7.75965
AT1G05420	6.98044	2.92234	15.3403	7.68391
AT1G05430	8.2397	7.33356	9.49949	9.41503
AT1G05440	0.707346	0.75828	0.799105	1.37766
AT1G05450	1.15527	1.32735	0.480842	1.32579
AT1G05460	2.41663	2.47573	2.1698	2.08884
AT1G05470	2.60447	2.13151	1.92218	1.68118
AT1G05490	0.152283	0.216519	0.411985	0.445987
AT1G05500	23.0036	27.2212	22.3914	23.3374
AT1G05510	14.2348	23.745	6.65859	4.08247
AT1G05520	15.4628	16.8291	15.4554	14.0414
AT1G05530	0.889849	1.22439	0.549578	1.0146
AT1G05540	2.16224	1.85647	2.42596	1.93044
AT1G05550	0.0630867	0	0.0199745	0
AT1G05560	1.94188	2.99474	2.61715	4.24901
AT1G05562	25.702	26.7529	34.6323	34.0791
AT1G05570	3.1807	3.7808	3.97111	4.18391
AT1G05575	5.7744	6.08159	10.933	6.51755
AT1G05577	0.0514957	0.325412	0.0428665	0
AT1G05580	0	0.0100107	0	0
AT1G05590	7.60178	7.29331	6.18346	5.53862
AT1G05600	1.04028	1.67997	1.27009	1.75096
AT1G05610	0.079505	0.167469	0.198547	0.133819
AT1G05615	0	0	0	0
AT1G05620	12.3803	11.5076	9.31036	10.4088
AT1G05630	1.8267	1.97262	2.10278	1.8742
AT1G05640	1.09467	1.71364	1.15975	1.20599
AT1G05650	0.578752	0.779854	0.170036	1.40961
AT1G05660	4.28957	6.18505	1.81372	6.70426
AT1G05670	0.276726	0.332251	0.340925	0.223569
AT1G05675	4.58912	1.55647	2.78415	1.4401
AT1G05680	13.5823	16.5149	21.0881	19.1878
AT1G05690	0.482143	0.344574	0.382237	0.626027
AT1G05700	0.0994363	0.145869	0.520291	0.387332
AT1G05710	4.79127	4.25312	5.17951	4.90191
AT1G05720	24.3927	34.7093	24.5294	27.4874
AT1G05730	8.79147	11.1166	8.79373	8.592
AT1G05740	0	0	0	0
AT1G05750	0.321112	0.489799	0.294954	0.603844
AT1G05760	5.80384	6.54049	3.86503	3.04784
AT1G05770	0.797727	0.581654	0.510808	0.495763
AT1G05780	6.20226	6.0707	4.37727	5.24235
AT1G05785	7.73264	8.24632	8.21549	5.86657
AT1G05790	1.98924	1.37029	1.72313	1.75164
AT1G05800	0.0275706	0	0.0688517	0
AT1G05805	9.52402	8.49583	7.1307	5.72116
AT1G05810	3.56713	3.9219	4.17318	3.79713
AT1G05820	0.863343	0.833977	0.599554	0.962762
AT1G05830	1.94133	1.66684	1.51552	1.38995
AT1G05835	10.5055	10.2899	17.6651	11.1399
AT1G05840	9.97984	10.3399	8.17711	7.95434
AT1G05850	282.202	255.111	285.573	233.864
AT1G05860	4.98199	5.80792	5.7774	6.14159
